연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
275,8,2822,산성,315079,297100,360208,352425,331711,330426,288036,275194,278662,314198,327730,303855
276,8,2823,남한산성입구,596423,564771,703930,716096,682996,710344,624566,598482,605767,682263,720786,711210
277,8,2824,단대오거리,485803,453741,558858,560765,546221,555143,512018,487565,487176,535254,560325,561130
278,8,2825,신흥,232059,215834,257573,253919,253394,251797,240245,228547,223496,239271,244207,251322
279,8,2826,수진,240196,223594,271046,267328,263607,267972,252666,243879,240405,262059,277036,279854
280,8,2827,모란(8),189015,183581,231976,231231,227316,226856,204309,196976,203443,233716,233208,230068
281,8,2828,남위례,,,,,,,,,,,,88244
282,9,4126,언주,257517,247941,301366,295500,282164,307302,286504,271356,260173,290278,325990,329890
283,9,4127,선정릉,228079,227023,284567,280875,266395,287167,257965,243774,238896,265039,292832,287826
284,9,4128,삼성중앙,170415,166702,205794,198964,187124,202097,179784,170046,165291,181683,205949,203527
285,9,4129,봉은사,384374,388329,490035,466441,471606,498901,429037,421892,399675,458613,526085,538555
286,9,4130,종합운동장(9),104676,104726,127979,126949,124937,130066,117330,110101,107353,119930,133397,127992
287,9,4131,삼전,189832,182439,218883,214633,212183,220851,207541,201065,196367,215506,229210,231100
288,9,4132,석촌고분,163331,157148,192231,187697,184513,193197,180890,173879,169825,185174,200221,201562
289,9,4133,석촌(9),205190,208376,260841,257249,251745,261138,238820,232442,232845,262312,278682,273948
290,9,4134,송파나루,133055,134557,163400,158899,160160,165225,155093,151096,146275,165691,174129,180342
291,9,4135,한성백제,70012,69276,84243,86064,84197,88889,80917,78593,79782,94097,96780,89742
292,9,4136,올림픽공원(9),139482,141935,179314,185913,189027,206853,178951,165563,176365,220989,224397,235375
293,9,4137,둔촌오륜,28888,28993,42967,41246,39093,42243,36232,33809,36902,40232,39971,40626
294,9,4138,중앙보훈병원,234471,230962,300442,298784,284979,311667,286367,279901,276261,301670,320333,315813
