연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
62,3,310,구파발,871867,883637,1095392,1083163,1066317,1094625,1003387,962401,966988,1077562,1127225,1091005
63,3,311,연신내(3),1638082,1645859,2005917,1977782,1956185,1980134,1811373,1747537,1768648,1922030,1980136,1945206
64,3,312,불광(3),759572,760056,943271,930114,922595,936018,848423,811433,843143,924874,954532,918415
65,3,313,녹번,623129,608940,763472,749987,739037,773916,708552,676223,683202,748248,800738,789337
66,3,314,홍제,746809,741535,942693,931076,903679,908424,824507,788798,811650,894134,931003,902262
67,3,315,무악재,178617,177246,219232,213407,206401,212688,194205,187506,190715,209103,219070,212668
68,3,316,독립문,307515,317227,402425,407947,400598,397832,342807,335946,358398,399468,410020,374912
69,3,317,경복궁,740923,810369,996900,1019875,1025435,1033148,889368,863938,937712,1086208,1237185,1049244
70,3,318,안국,739995,807137,1073875,1041652,1030073,1057826,882883,858025,919422,1091103,1225781,1074674
71,3,319,종로3가(3),424333,443126,562692,552856,544955,564972,497034,477962,485476,551376,578485,571282
72,3,320,을지로3가(3),436016,426989,537288,529491,504272,548070,481815,447953,436800,490393,560959,553467
73,3,322,동대입구,316620,323810,434980,451234,422918,414043,361075,357042,381945,435911,488795,445889
74,3,323,약수(3),558282,557186,691464,683456,666010,692128,624509,596020,608400,664344,698362,691441
75,3,324,금호,359704,357506,440791,434174,422205,430549,387058,371763,375590,406762,425655,419001
76,3,325,옥수,416475,425973,525562,520574,508512,521053,461392,447264,457221,498881,516843,498376
77,3,326,압구정,1452885,1470295,1746173,1703504,1661633,1739145,1588291,1491979,1479398,1615717,1757572,1806620
78,3,327,신사,1412812,1446824,1690010,1632471,1592931,1646675,1462466,1398140,1381641,1578755,1701853,1717384
79,3,328,잠원,203015,207467,262228,260168,250171,260546,227796,218853,225439,248730,266605,256525
80,3,329,고속터미널(3),1815822,2024617,2299081,2271907,2395198,2330472,1997880,1957591,2119551,2349726,2427771,2400419
81,3,330,교대(3),477981,467579,600086,588176,553021,594572,527263,497163,495769,550669,612915,588555
82,3,331,남부터미널,1290304,1315654,1577940,1526677,1545141,1579424,1395096,1367264,1350996,1491978,1612770,1564503
83,3,332,양재,1680928,1636039,2081853,2069053,1958521,2078106,1852249,1743399,1723860,1932718,2154224,2103750
84,3,333,매봉,520516,500701,624465,626025,588384,631373,579425,542522,535789,579443,640818,630162
85,3,334,도곡,236691,232457,297410,295739,279933,288688,258025,238639,239155,266870,296203,280776
86,3,335,대치,484685,494655,598352,571749,566730,583273,548888,534474,531019,562525,588515,554028
87,3,336,학여울,78922,85367,113261,127381,121754,115327,92639,81382,101093,123542,131844,112761
88,3,337,대청,399843,395049,502388,495725,473018,503290,461310,442432,448713,488537,522622,510769
89,3,338,일원,417694,400287,505211,502640,473740,513797,458965,443074,447039,474968,521339,509599
90,3,339,수서,712679,727311,936523,939528,927232,952427,841835,810205,812071,925189,979821,961623
91,3,340,가락시장(3),400926,397372,487019,474654,452556,471561,424153,402849,398042,437081,479505,464904
92,3,341,경찰병원,341546,322022,395840,389776,366805,382083,351341,334694,327197,355644,391734,383037
93,3,342,오금(3),259161,250616,315051,310552,298661,310454,284112,272234,272878,297896,322671,311534
94,4,409,당고개,546453,548019,684366,682881,682854,688238,641475,612746,619453,668105,688191,676157
95,4,410,상계,832054,819558,1009640,1003240,980645,1003152,925059,881847,902877,972225,1004862,995121
96,4,411,노원(4),895963,915268,1118215,1089894,1092762,1094018,1003180,963211,970853,1064468,1106996,1108160
97,4,412,창동,1202014,1207933,1468800,1429060,1411501,1434850,1298262,1246110,1260761,1365993,1447361,1426942
98,4,413,쌍문,1279594,1258728,1544248,1516875,1482327,1523700,1404509,1342285,1351814,1468163,1528344,1530149
99,4,414,수유,1543208,1523146,1863920,1831965,1800265,1824572,1686087,1618915,1635545,1770245,1849981,1859145
100,4,415,미아,663111,653440,821943,805531,786533,785361,724753,692387,717253,772748,796356,792996
101,4,416,미아사거리,1239353,1223743,1508850,1485415,1460873,1478204,1354279,1294091,1319443,1443681,1495370,1495190
102,4,417,길음,867635,857341,1082224,1068275,1035023,1051928,940723,902979,932861,1017464,1090160,1063767
103,4,418,성신여대입구,858609,874697,1093829,1057788,1068830,1048322,958770,927806,948928,1054038,1108252,1096351
104,4,419,한성대입구,574506,580273,741571,739899,733930,735066,641613,619944,644976,712699,754849,726491
105,4,420,혜화,1277096,1370572,1716489,1655754,1689842,1695360,1490009,1473429,1472215,1678271,1863297,1813287
106,4,421,동대문(4),844547,825284,1101739,1080765,1066013,1084938,988038,869442,907523,1027184,1068620,1015145
107,4,422,동대문역사문화공원(4),622277,616032,771426,745199,737709,759543,686652,650362,652456,727498,787594,799280
108,4,423,충무로(4),1091146,1063425,1358047,1346446,1271019,1343774,1204091,1132985,1143046,1275111,1418757,1353645
109,4,424,명동,714072,750516,923593,942007,908866,981139,817255,786682,833439,946885,1056326,1234291
110,4,425,회현,976360,973960,1292040,1275746,1236294,1289966,1125729,1033748,1071968,1232179,1293496,1398138
111,4,426,서울역(4),527195,539749,670741,673938,655550,687465,586047,558597,561376,655024,766937,729905
112,4,427,숙대입구,526474,537301,699735,681643,660387,681923,593173,565967,582120,645553,716761,686524
113,4,428,삼각지(4),207114,206682,272563,276014,268955,285165,248616,239102,243816,280830,301071,283157
114,4,429,신용산,657787,667269,837556,822349,808742,863546,752225,722271,719747,808186,927931,906186
115,4,430,이촌,314244,336104,418242,423064,427990,439798,381975,373273,374430,407671,432395,417940
116,4,431,동작,141903,142414,184167,190312,182038,184952,145324,132983,139875,138832,129676,108839
117,4,432,이수(총신대입구),879573,879540,1085399,1063337,1044383,1067712,963967,928760,948238,1072250,1080779,1058479
118,4,433,사당(4),970609,986899,1247505,1226564,1216491,1233873,1069704,1028414,1052743,1215471,1327493,1267680
119,4,434,남태령,50400,49728,66101,65284,63441,65179,55757,52572,56435,62461,68884,63934
120,5,2511,방화,294948,290777,364759,359710,350390,360825,331204,319029,320626,348422,363883,360735
121,5,2512,개화산,226954,229172,286173,288576,280491,289990,264824,255859,258323,283850,297821,294385
122,5,2513,김포공항(5),320018,360919,411737,418414,430022,422240,406075,381766,366480,423511,429640,432873
123,5,2514,송정,287997,289759,363619,361153,354438,352588,321293,310460,316470,346417,358901,351451
124,5,2515,마곡,399325,391925,512568,516140,503936,527173,485554,456354,449690,495836,551434,549551
125,5,2516,발산,804243,822889,1066866,1054277,1030615,1064813,942318,904440,914180,1024884,1121917,1087651
126,5,2517,우장산,599787,606202,768486,764969,738821,760830,673759,654565,668615,729508,781438,762617
127,5,2518,화곡,1216920,1203815,1492985,1475230,1431142,1468491,1341770,1282008,1288489,1405590,1487585,1481936
128,5,2519,까치산(5),1284312,1266910,1562250,1549954,1505789,1528229,1410254,1353822,1362394,1478951,1543258,1541482
129,5,2520,신정,559427,545595,682668,677189,651274,670941,612217,581595,580966,632110,677250,672308
130,5,2521,목동,776403,766926,952469,937799,904670,938673,842673,805972,803637,873876,931837,920030
131,5,2522,오목교,1019483,1036382,1261262,1232826,1205406,1225992,1111773,1054123,1037257,1148002,1224446,1223728
132,5,2523,양평(5),329204,317254,393628,386673,366440,387549,347011,327799,320878,350268,387075,390498
133,5,2524,영등포구청(5),186699,181034,227310,223091,208613,218857,200026,185588,185279,199299,216409,213429
134,5,2525,영등포시장,429153,428187,535415,528588,507155,521866,470079,449643,447903,502235,555320,555276
135,5,2526,신길(5),188275,184716,230852,226953,214042,223598,202310,192848,189459,210806,228623,228856
136,5,2527,여의도(5),1113886,1144702,1548677,1475328,1345396,1454976,1210878,1157183,1127753,1256356,1475896,1465286
137,5,2528,여의나루,328115,451862,779748,816371,782625,703881,472825,483276,617742,654960,600170,484986
138,5,2529,마포,615937,606899,756893,750600,707094,741903,656469,622063,613275,677709,761760,755275
139,5,2530,공덕(5),613805,614582,786406,771572,708353,754937,655148,612465,610346,675152,761933,738712
140,5,2531,애오개,295161,287603,363811,360809,341308,360938,322184,303035,299211,325007,356666,353977
141,5,2532,충정로(5),200185,194472,256173,251587,234282,251632,221997,204533,203748,220577,249619,245286
142,5,2533,서대문,772895,758632,952093,941760,873078,954246,845476,794746,784055,863542,985513,941745
143,5,2534,광화문,1254653,1275796,1583172,1528511,1457402,1548120,1369800,1284291,1259988,1393873,1638172,1591929
144,5,2535,종로3가(5),460906,534887,676070,660377,691207,683291,571588,561748,580010,689621,726140,682129
145,5,2536,을지로4가(5),246252,247742,316942,311170,295963,317553,282929,261333,262623,292849,318621,312536
146,5,2537,동대문역사문화공원(5),132162,125183,155031,151530,140344,154859,138677,131927,127556,138986,159387,160491
147,5,2538,청구(5),170366,166390,209269,204253,194819,203612,185515,177817,181684,195017,205928,203756
148,5,2539,신금호,279270,272274,344091,343268,329170,347180,307091,294156,305129,334567,353949,351171
149,5,2540,행당,347246,338400,422307,417785,404848,422832,375178,362977,363043,395940,420940,411140
150,5,2541,왕십리(5),214373,216595,266556,263266,259587,264410,243942,233217,233319,257376,274999,278079
151,5,2542,마장,247749,243760,293831,291563,283572,288663,257865,249387,264270,278739,300611,300622
152,5,2543,답십리,713482,688713,857107,843980,811824,838635,769608,730993,726570,792925,851695,859115
153,5,2544,장한평,820101,788616,985650,971689,932161,977836,903204,857164,845725,927864,1005011,999416
154,5,2545,군자(5),523413,517705,646008,637617,626124,635135,579884,551570,549134,619674,651482,651628
155,5,2546,아차산,651396,651877,820742,842604,839808,792755,698918,687113,719577,798930,812332,790468
156,5,2547,광나루,543394,544778,684544,681741,670520,680951,603478,579364,596590,677293,711721,692023
157,5,2548,천호(5),831489,829019,1006955,992456,996256,988815,908073,872465,869420,977555,1009041,1016466
158,5,2549,강동,854579,822391,1019813,974627,936799,972117,890902,846000,832691,924005,984738,979047
159,5,2550,길동,369698,358506,436536,441607,433452,440621,410909,393122,390147,423079,445051,451284
160,5,2551,굽은다리,415226,404152,494175,494366,489910,508329,480164,452557,443265,485849,507954,521486
161,5,2552,명일,376273,376539,467834,479058,460915,473553,419810,401114,406099,453116,484185,476320
162,5,2553,고덕,385230,382753,486648,491690,474893,496179,453797,442556,444497,493229,516730,511138
163,5,2554,상일동,702239,703213,881509,804267,773519,805749,725089,685220,685272,751628,805029,791347
164,5,2555,둔촌동,382448,377195,468443,461018,453251,468979,426910,404748,404337,446150,471203,467817
165,5,2556,올림픽공원(5),169040,165676,213731,217896,217832,224979,199821,185323,197506,231996,235501,228780
166,5,2557,방이,319373,311572,383045,374239,367795,383307,346486,334413,335320,369044,396381,389266
167,5,2558,오금(5),160542,153758,198142,200501,188603,199359,179566,171857,173193,188979,201483,197530
168,5,2559,개롱,288222,283004,355275,353748,342222,357481,326546,311553,315068,343101,361717,354767
